from	to
EGFR	ERBB2
EGFR	ESR1
EGFR	JUN
EGFR	MYC
EGFR	NFKB1
EGFR	PIK3R1
EGFR	SRC
ERBB2	EGFR
ERBB2	ESR1
ERBB2	JUN
ERBB2	MAPK8
ERBB2	NFKB1
ERBB2	PIK3R1
ERBB2	SRC
ESR1	EGFR
ESR1	JUN
ESR1	MYC
ESR1	NFKB1
ESR1	PIK3R1
ESR1	SRC
JUN	ESR1
JUN	MYC
JUN	PIK3R1
MAPK8	EGFR
MAPK8	ESR1
MAPK8	JUN
MAPK8	MYC
MAPK8	PIK3R1
MAPK8	SRC
MYC	EGFR
MYC	ERBB2
MYC	NFKB1
NFKB1	EGFR
NFKB1	JUN
NFKB1	MAPK8
NFKB1	MYC
NRG1	EGFR
NRG1	ERBB2
NRG1	ESR1
NRG1	JUN
NRG1	MAPK8
NRG1	MYC
NRG1	NFKB1
NRG1	PIK3R1
NRG1	SRC
PIK3R1	EGFR
PIK3R1	ERBB2
PIK3R1	ESR1
PIK3R1	JUN
PIK3R1	MAPK8
PIK3R1	MYC
PIK3R1	NFKB1
PIK3R1	SRC
SRC	EGFR
SRC	ERBB2
SRC	ESR1
SRC	JUN
SRC	MAPK8
SRC	MYC
SRC	NFKB1
SRC	PIK3R1
ERBB2	CXCL8
ESR1	CXCL8
JUN	CXCL8
MYC	CXCL8
NFKB1	CXCL8
NRG1	CXCL8
